ID,MTEvents_stable,MTEvents_unstable,PhaseBSE_0,Mass_0,Mass_1,Semimajor,Eccentricity,Merge,Mass_0_initial,Mass_1_initial,a,e
2019587.0,1,0,14.0,20.4095,15.74641,540.2053,0.0,0,91.247,37.502,239.0,0.000172
3005068.0,0,1,14.0,12.27437,8.900399,69.41038,0.0,0,52.129,19.902,142.0,0.0235
3716425.0,0,1,14.0,8.604036,1.318926,32.58193,0.0,0,37.157,7.132,245.0,0.0418
220633.0,1,0,14.0,22.57517,1.186558,559.4714,0.0,0,98.301,26.312,200.0,0.259
1440301.0,0,1,14.0,6.878271,7.013418,162.4395,0.0,0,30.668,21.776,782.0,0.196
3050743.0,0,1,14.0,8.438098,6.760202,28.0296,0.0,0,36.705,13.852,154.0,0.0485
3417908.0,0,1,14.0,15.03529,4.249027,114.4653,0.0,0,57.85,13.537,281.0,0.0249
3792056.0,0,1,14.0,7.00694,6.302838,137.1104,0.0,0,31.136,20.268,1090.0,0.0359
1029253.0,1,0,14.0,9.915947,3.026009,175.3131,0.0,0,39.157,32.375,541.0,0.00388
3767196.0,0,1,14.0,12.73841,7.279098,162.1963,0.0,0,49.798,19.102,439.0,0.33
1164299.0,0,1,14.0,12.39552,10.26681,2428.262,0.0,0,43.746,26.061,2890.0,0.0429
1380812.0,0,1,14.0,12.84592,10.89126,45.71838,0.0,0,51.02,26.23,276.0,0.327
1704271.0,0,1,14.0,10.17683,12.17017,263.2324,0.0,0,40.198,28.17,657.0,0.0865
2593201.0,0,1,14.0,9.009117,4.491317,52.00426,0.0,0,38.714,10.647,846.0,0.719
217143.0,1,0,14.0,21.90702,2.616156,307.2797,0.0,0,104.691,18.039,173.0,0.0797
2173768.0,1,0,14.0,23.54643,18.37957,258.375,0.0,0,132.939,40.539,136.0,0.0162
180409.0,0,1,14.0,7.784717,8.226266,128.5544,0.0,0,33.974,23.904,283.0,0.194
1538325.0,0,1,14.0,7.760802,6.250718,77.834,0.0,0,33.906,19.749,520.0,0.621
2178554.0,0,1,14.0,8.203341,8.253896,92.86039,0.0,0,35.571,23.165,194.0,0.0165
2231957.0,0,1,14.0,9.037863,5.61688,57.41304,0.0,0,38.471,13.081,339.0,0.227
3245275.0,0,1,14.0,7.323057,5.299541,63.65049,0.0,0,32.29,16.905,183.0,0.42
1691106.0,0,1,14.0,7.037394,7.881866,18.25177,0.0,0,31.2,22.948,202.0,0.248
3243871.0,0,1,14.0,13.32567,7.557322,127.6633,0.0,0,53.49,18.69,167.0,0.147
3523574.0,0,1,14.0,14.25504,3.911643,58.58085,0.0,0,56.309,12.409,277.0,0.36
152468.0,1,0,14.0,19.3706,8.05853,159.9039,0.0,0,76.349,22.002,117.0,0.013
897590.0,1,0,14.0,17.75616,20.38526,158.7214,0.0,0,63.711,44.269,203.0,0.411
2431837.0,0,1,14.0,10.96929,13.04708,414.5117,0.0,0,35.466,29.299,1720.0,0.306
2982102.0,0,1,14.0,16.40653,3.568938,116.7311,0.0,0,59.846,13.058,351.0,0.0204
648938.0,1,0,14.0,9.778434,0.808235,1010.195,0.0,0,26.686,4.703,3650.0,0.379
3077814.0,1,0,14.0,18.31707,6.498072,117.3067,0.0,0,66.0,20.587,161.0,0.211
596753.0,0,1,14.0,12.26327,12.26631,362.6094,0.0,0,45.243,30.502,799.0,0.32
2554758.0,1,0,14.0,19.32016,20.671,262.7611,0.0,0,74.601,46.518,184.0,0.276
2638966.0,0,1,14.0,14.45562,3.199648,88.84686,0.0,0,56.518,10.902,272.0,0.245
3453656.0,1,0,14.0,13.2431,17.87141,306.2509,0.0,0,51.816,38.523,336.0,0.103
51255.0,1,0,14.0,15.5524,23.40841,307.4621,0.2945045,0,60.053,49.278,224.0,0.0268
639967.0,1,0,14.0,12.03889,16.80149,104.8092,0.0,0,48.222,39.319,494.0,0.624
1094354.0,0,1,14.0,11.5512,5.861237,298.1967,0.0,0,41.902,18.692,1550.0,0.408
2360709.0,0,1,14.0,11.55958,9.954327,63.90409,0.0,0,46.557,23.112,251.0,0.423
2403840.0,1,0,14.0,23.06938,23.91771,217.3555,0.0,0,119.845,52.481,154.0,0.0768
303157.0,1,0,14.0,15.14788,0.8482771,373.9186,0.0,0,50.935,10.188,845.0,0.43
1195538.0,0,1,14.0,16.20273,10.33848,70.24884,0.0,0,62.093,25.272,152.0,0.121
1502919.0,0,1,14.0,7.608866,6.813478,131.8261,0.0,0,33.33,21.345,540.0,0.0438
2599732.0,0,1,14.0,20.63261,10.94702,214.8752,0.0,0,93.084,29.512,229.0,0.055
3542932.0,0,1,14.0,9.282628,8.975902,186.4775,0.0,0,39.63,19.642,382.0,0.0603
3700816.0,1,0,14.0,19.13041,20.7958,446.064,0.0,0,73.208,48.591,452.0,0.266
1383651.0,0,1,14.0,8.223642,3.261526,93.36285,0.0,0,35.659,13.449,1170.0,0.206
1384920.0,0,1,14.0,8.378317,3.296396,35.6876,0.0,0,36.352,10.348,302.0,0.567
2597724.0,0,1,14.0,15.59337,3.764382,184.0923,0.0,0,57.857,13.232,377.0,0.112
