ID,MTEvents_stable,MTEvents_unstable,Mass_0,Mass_1,Semimajor,Eccentricity,Merge
51.0,1,0,8.654281,0.7804022,160.5464,0.0,0
84.0,1,0,24.09848,13.05306,35.01047,0.0,0
168.0,1,0,23.3545,6.591192,180.9291,0.0,0
215.0,1,0,10.13381,5.331001,14.43958,0.0,0
659.0,1,0,33.41305,31.11323,84.49661,0.0,0
665.0,1,0,31.26316,6.9436,133.164,0.0,0
666.0,1,0,44.92737,4.367547,178.972,0.0,0
680.0,1,0,34.13163,30.04001,139.0215,0.0,0
690.0,1,0,11.06357,8.405928,1.333771,0.0,0
700.0,1,0,9.462201,1.768855,90.97575,0.0,0
813.0,1,0,7.637898,3.543189,29.31349,0.0,0
839.0,1,0,37.47757,20.59035,15.76669,0.0,1
870.0,1,0,38.30676,36.58013,63.68403,0.0,0
916.0,1,0,18.97727,15.31333,32.38377,0.0,0
982.0,1,0,22.16446,6.730812,64.58295,0.0,0
1014.0,1,0,19.01225,2.739197,123.1894,0.0,0
1045.0,1,0,35.15224,4.845711,127.339,0.0,0
1056.0,1,0,20.48238,3.343769,329.3816,0.0,0
1066.0,1,0,33.23242,29.29961,126.5769,0.0,0
1092.0,1,0,34.70056,31.04772,20.51043,0.0,1
1127.0,1,0,9.646064,1.165886,196.2533,0.0,0
1130.0,1,0,18.08386,6.958558,66.89831,0.0,0
1215.0,1,0,36.0339,5.026464,115.114,0.0,0
1312.0,1,0,11.35611,7.425929,5.321985,0.0,0
1328.0,1,0,39.30497,18.36784,20.96708,6.694468e-06,1
1341.0,1,0,37.2813,6.57547,158.4052,0.0,0
1392.0,1,0,24.33423,3.17215,712.4843,0.0,0
1406.0,1,0,25.52397,16.00605,45.138,0.0,0
1464.0,1,0,9.938303,2.002979,359.8545,0.0,0
1498.0,1,0,7.699397,0.945209,504.3068,0.0,0
1788.0,1,0,44.72483,34.24767,202.1477,0.0,0
1793.0,1,0,8.627984,7.595267,1.27021,0.0,0
1898.0,1,0,28.60343,4.705095,89.58846,0.0,0
1901.0,1,0,16.30957,3.274959,149.8918,0.0,0
1932.0,1,0,45.78897,43.83404,21.74069,0.0,1
1940.0,1,0,11.30897,1.696429,115.4652,0.0,0
2252.0,1,0,11.17161,2.889651,64.34452,0.0,0
2379.0,1,0,14.17849,7.663688,78.49639,0.0,0
2403.0,1,0,41.29032,0.922402,865.3125,0.0,0
2432.0,1,0,21.15811,7.481776,92.29766,0.0,0
2449.0,1,0,24.01992,5.078439,73.94059,0.0,0
2480.0,1,0,30.67564,34.27716,84.54583,0.0,0
2481.0,1,0,41.61427,9.13667,92.44556,0.0,0
2519.0,1,0,7.937514,6.170714,4.794479,0.0,0
2551.0,1,0,35.1366,34.18182,84.56573,0.0,0
2578.0,1,0,21.77884,6.001625,108.7204,0.0,0
2620.0,1,0,8.366196,1.365499,286.1862,0.0,0
2684.0,1,0,33.75133,6.469846,213.6,0.0,0
2687.0,1,0,22.38626,0.661536,444.2885,0.0,0
2726.0,1,0,8.096242,1.684286,271.1927,0.0,0
2782.0,1,0,19.70504,7.158125,53.10637,0.0,0
2802.0,1,0,28.07519,4.167547,317.236,0.0,0
2803.0,1,0,39.31061,4.249445,538.8385,0.0,0
2943.0,1,0,19.57914,1.726544,142.2603,0.0,0
3327.0,0,1,16.43506,8.184562,66.19246,0.0,0
3351.0,1,0,18.00095,2.423564,293.7279,0.0,0
3370.0,1,0,10.68403,6.205766,13.57275,0.0,0
3440.0,1,0,15.7545,16.20572,13.46377,0.0,1
3446.0,1,0,27.33533,5.902521,161.5789,0.0,0
3474.0,1,0,14.12135,13.90349,15.19945,0.0,0
3510.0,1,0,22.7996,4.638192,132.1339,0.0,0
3600.0,0,1,9.277312,10.17125,2.811958,0.0,1
3645.0,1,0,31.33813,22.75828,58.7833,0.0,0
